 3-MAR-1987 09:33:32.98 | 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0  | earn usa 
 3-MAR-1987 09:21:39.11 | 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0  | usa 
 3-MAR-1987 09:25:48.88 | 1 1 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0  | italy 
 3-MAR-1987 09:30:07.60 | 2 1 3 2 1 1 1 1 1 1 1 1 2 1 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 0  | earn canada 
 3-MAR-1987 09:30:48.45 | 2 1 3 2 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 2 0 0 0 0 0 0 0  | money-fx interest uk 
 3-MAR-1987 09:32:34.04 | 3 1 3 3 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 3 0 0 0 0 0 0 0 1 0 0 0 0 1 2 2 0 0 0 0 0 0 0  | earn usa 
 3-MAR-1987 09:19:31.96 | 3 1 3 3 1 1 1 1 1 1 2 1 2 1 1 1 1 3 1 1 3 1 1 1 1 0 0 0 1 0 0 0 0 1 3 3 0 0 0 0 0 0 0  | usa taiwan 
 3-MAR-1987 09:18:21.26 | 3 1 3 3 1 1 1 1 1 1 2 1 2 1 1 1 1 3 2 1 3 1 1 1 1 1 1 1 2 0 0 0 0 1 3 3 0 0 0 0 0 0 0  | usa ussr 
26-FEB-1987 15:02:20.00 | 3 1 3 3 1 1 1 1 1 1 2 1 2 1 1 1 1 3 2 1 3 1 1 1 1 1 1 2 2 1 1 1 1 1 3 3 0 0 0 0 0 0 1  | usa 
 3-MAR-1987 09:20:23.32 | 4 1 3 4 1 1 1 1 1 1 2 1 3 1 1 1 1 3 2 1 4 1 1 1 1 1 1 2 2 1 1 1 1 2 4 3 0 0 0 0 0 0 1  | earn usa 
26-FEB-1987 15:01:01.79 | 4 1 4 4 1 1 1 1 1 1 3 1 3 1 1 1 1 3 2 1 4 1 1 1 1 1 1 2 2 1 1 1 1 2 4 4 1 1 1 0 0 0 1  | cocoa el-salvador usa uruguay 
 3-MAR-1987 09:27:51.06 | 4 1 5 4 1 2 1 1 1 1 3 1 3 1 1 1 1 3 2 1 4 1 1 1 1 1 1 2 2 1 1 1 1 2 4 4 1 1 1 1 1 1 2  | usa 
